Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Total Funding Amount
Netflix,https://www.crunchbase.com/organization/netflix,"Consumer Electronics, Digital Entertainment, Video","Los Gatos, California, United States","Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, PCs, Macs, mobiles, tablets, and so on. ",5,"$2,803,735,952"
Lyft,https://www.crunchbase.com/organization/lyft,"Mobile Apps, Peer to Peer, Ride Sharing, Transportation","San Francisco, California, United States",Lyft is an on-demand transportation service in the US.,10,"$4,112,500,000"
Square,https://www.crunchbase.com/organization/square,"Finance, FinTech, Hardware, Mobile, Mobile Payments, Payments, Software","San Francisco, California, United States",Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,21,"$590,500,000"
Microsoft,https://www.crunchbase.com/organization/microsoft,"Cloud Computing, Collaboration, Developer Tools, Enterprise Software, Operating Systems","Redmond, Washington, United States","Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",37,"$1,000,000"
Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,"Analytics, Enterprise Software, SaaS","Redwood City, California, United States","Sumo Logic, a log management and analytics service, transforms big data into sources of operations, security and compliance intelligence.",94,"$230,000,000"
Yelp,https://www.crunchbase.com/organization/yelp,"Apps, Customer Service, Mobile, Search Engine","San Francisco, California, United States",Yelp operates an online platform that connects people with local businesses.,136,"$56,000,000"
Cumulus Networks,https://www.crunchbase.com/organization/cumulus-networks,"Cloud Computing, Linux, Web Hosting","Mountain View, California, United States","Cumulus Networks, a software company, designs and sells Linux operating systems for networking hardware.",141,"$129,000,000"
Tigera,https://www.crunchbase.com/organization/tigera,"Cloud Security, Enterprise Software, Network Security, Open Source, Security","San Francisco, California, United States",Tigera provides secure application connectivity for the cloud native world.,153,"$23,000,000"
Atlassian,https://www.crunchbase.com/organization/atlassian,"Collaboration, Developer Tools, Enterprise Software","Sydney, New South Wales, Australia","Atlassian provides collaboration software for teams with products including JIRA, Confluence, HipChat, Bitbucket, and Stash.",161,"$210,000,000"
Pinterest,https://www.crunchbase.com/organization/pinterest,"Social Bookmarking, Social Media, Travel","San Francisco, California, United States",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,192,"$1,466,100,000"
Pure Storage,https://www.crunchbase.com/organization/pure-storage,"Cloud Computing, Data Storage, Enterprise Software","Mountain View, California, United States",Pure Storage is an all-flash enterprise storage company that enables broad deployment of flash in data centers.,369,"$530,856,468"
Loggly,https://www.crunchbase.com/organization/loggly,"Analytics, Cloud Data Services, Enterprise Software, SaaS","San Francisco, California, United States","Loggly parses your log files, shows you the code in GitHub which caused the log errors. 10,000+ customers, including 1/3 of the Fortune 500.",380,"$47,400,000"
